t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,0.0,-0.1078,0.0,0.0,0
2,2020-03,0.0,2.0203,0.7071,1.5428,1
3,2020-04,0.0,0.5978,0.5774,3.5581,1
4,2020-05,0.0,0.1911,1.636,1.0242,0
5,2020-06,0.0,0.0225,0.9985,0.9062,0
6,2020-07,0.0,0.1021,1.2735,6.5147,1
7,2020-08,0.0,0.0047,0.7095,1.1163,0
8,2020-09,0.0,0.3331,2.3803,3.4729,1
9,2020-10,0.0,0.0343,1.3524,1.7142,0
10,2020-11,0.0,0.014,1.1638,1.0615,0
11,2020-12,0.0,0.18,24.0982,1.2444,1
