t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2024-01-01 10:00:00,0,Parietal_Lobe,41.5234,6.7234,1,12.682,1.6817,3
0,2024-01-01 10:00:00,1,Visual_Cortex,41.5234,6.6768,4,12.3296,1.6675,2
0,2024-01-01 10:00:00,2,Prefrontal_Cortex,41.5234,6.7621,1,12.5235,1.6765,4
0,2024-01-01 10:00:00,3,Temporal_Lobe,41.5234,6.7309,4,12.7059,1.682,1
0,2024-01-01 10:00:00,4,Motor_Cortex,41.5234,6.754,1,12.38,1.6691,2
1,2024-01-01 10:00:10,0,Parietal_Lobe,41.5234,6.7689,2,12.6073,1.6719,1
1,2024-01-01 10:00:10,1,Visual_Cortex,41.5234,6.7417,2,12.5698,1.6743,3
1,2024-01-01 10:00:10,2,Prefrontal_Cortex,41.5234,6.6591,4,12.2791,1.6657,4
1,2024-01-01 10:00:10,3,Temporal_Lobe,41.5234,6.7464,2,12.6323,1.6734,1
1,2024-01-01 10:00:10,4,Motor_Cortex,41.5234,6.7827,2,12.5309,1.6738,0
2,2024-01-01 10:00:20,0,Parietal_Lobe,41.5234,6.669,3,0.5416,-106.7848,3
2,2024-01-01 10:00:20,1,Visual_Cortex,41.5234,6.6868,2,0.0145,-17.4917,3
2,2024-01-01 10:00:20,2,Prefrontal_Cortex,41.5234,6.6872,4,0.0188,-19.8955,3
2,2024-01-01 10:00:20,3,Temporal_Lobe,41.5234,6.6752,4,0.0069,-8.3816,1
2,2024-01-01 10:00:20,4,Motor_Cortex,41.5234,6.6849,3,0.0404,29.2164,3
3,2024-01-01 10:00:30,0,Parietal_Lobe,41.5234,6.7257,4,0.0575,-13.6929,4
3,2024-01-01 10:00:30,1,Visual_Cortex,41.5234,6.7199,4,0.0302,-17.183,3
3,2024-01-01 10:00:30,2,Prefrontal_Cortex,41.5234,6.6974,4,0.0393,-19.5575,3
3,2024-01-01 10:00:30,3,Temporal_Lobe,41.5234,6.6899,4,0.0138,-8.5695,1
3,2024-01-01 10:00:30,4,Motor_Cortex,41.5234,6.6726,2,0.0402,-10.0768,0
4,2024-01-01 10:00:40,0,Parietal_Lobe,41.5234,6.7149,2,0.048,-12.7237,4
4,2024-01-01 10:00:40,1,Visual_Cortex,41.5234,6.735,2,0.0515,-6.9309,3
4,2024-01-01 10:00:40,2,Prefrontal_Cortex,41.5234,6.6789,4,0.0465,-5.2932,3
4,2024-01-01 10:00:40,3,Temporal_Lobe,41.5234,6.7635,2,0.0198,-8.1044,1
4,2024-01-01 10:00:40,4,Motor_Cortex,41.5234,6.7085,2,0.0443,-10.5955,0
5,2024-01-01 10:00:50,0,Parietal_Lobe,41.5234,6.6998,2,0.1311,-8.2089,4
5,2024-01-01 10:00:50,1,Visual_Cortex,41.5234,6.7253,3,0.0758,-6.094,2
5,2024-01-01 10:00:50,2,Prefrontal_Cortex,41.5234,6.7168,3,0.1112,-9.7765,1
5,2024-01-01 10:00:50,3,Temporal_Lobe,41.5234,6.6642,0,0.1904,-7.3504,1
5,2024-01-01 10:00:50,4,Motor_Cortex,41.5234,6.6861,3,0.1233,-8.9418,0
6,2024-01-01 10:01:00,0,Parietal_Lobe,41.5234,6.7539,3,0.0494,-4.8103,4
6,2024-01-01 10:01:00,1,Visual_Cortex,41.5234,6.7144,3,0.0598,-3.9737,2
6,2024-01-01 10:01:00,2,Prefrontal_Cortex,41.5234,6.7315,1,0.051,-5.2387,1
6,2024-01-01 10:01:00,3,Temporal_Lobe,41.5234,6.7534,1,0.0467,-4.1432,2
6,2024-01-01 10:01:00,4,Motor_Cortex,41.5234,6.7646,1,0.0865,-6.8269,0
7,2024-01-01 10:01:10,0,Parietal_Lobe,41.5234,6.7245,3,0.0501,-4.2965,4
7,2024-01-01 10:01:10,1,Visual_Cortex,41.5234,6.7212,3,0.0589,-4.512,4
7,2024-01-01 10:01:10,2,Prefrontal_Cortex,41.5234,6.7207,3,0.0413,-4.0359,3
7,2024-01-01 10:01:10,3,Temporal_Lobe,41.5234,6.7022,4,0.0484,-4.3126,2
7,2024-01-01 10:01:10,4,Motor_Cortex,41.5234,6.7083,2,0.0596,-4.982,0
8,2024-01-01 10:01:20,0,Parietal_Lobe,41.5234,6.6834,2,0.0297,-4.0425,2
8,2024-01-01 10:01:20,1,Visual_Cortex,41.5234,6.7752,0,0.0553,-5.9543,4
8,2024-01-01 10:01:20,2,Prefrontal_Cortex,41.5234,6.7609,0,0.0406,-4.8221,0
8,2024-01-01 10:01:20,3,Temporal_Lobe,41.5234,6.7862,0,0.029,-4.0187,2
8,2024-01-01 10:01:20,4,Motor_Cortex,41.5234,6.7704,0,0.0579,-5.9677,1
9,2024-01-01 10:01:30,0,Parietal_Lobe,41.5234,6.6833,3,0.0255,-3.7738,2
9,2024-01-01 10:01:30,1,Visual_Cortex,41.5234,6.6929,3,0.0534,-5.1883,4
9,2024-01-01 10:01:30,2,Prefrontal_Cortex,41.5234,6.7264,3,0.0424,-4.6741,3
9,2024-01-01 10:01:30,3,Temporal_Lobe,41.5234,6.6896,2,0.0313,-4.6986,2
9,2024-01-01 10:01:30,4,Motor_Cortex,41.5234,6.6921,3,0.0637,-5.6752,1
10,2024-01-01 10:01:40,0,Parietal_Lobe,41.5234,6.7596,2,0.0284,-3.6741,2
10,2024-01-01 10:01:40,1,Visual_Cortex,41.5234,6.6968,2,0.0599,-5.2661,4
10,2024-01-01 10:01:40,2,Prefrontal_Cortex,41.5234,6.673,0,0.0425,-4.7269,3
