t_idx,time_label,node_idx,node_label,state_X,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,2024-01-01 10:00:00,0,00_Motor_Cortex,100063.72,63.72,0.0,100063.72,10006.372,637606.0238
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,99951.9,-48.1,0.0,99951.9,9995.19,-480768.639
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,99933.92,-66.08,0.0,99933.92,9993.392,-660363.3434
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,100009.98,9.98,0.0,100009.98,10000.998,99809.96
0,2024-01-01 10:00:00,4,04_Visual_Cortex,100040.48,40.48,0.0,100040.48,10004.048,404963.863
1,2024-01-01 10:00:10,0,00_Motor_Cortex,100068.83,5.11,-58.61,100066.275,10006.6275,-5813750.5112
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,99931.25,-20.65,27.45,99941.575,9994.1575,2537016.8814
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,99955.24,21.32,87.4,99944.58,9994.458,8948238.1366
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,99945.35,-64.63,-74.61,99977.665,9997.7665,-8105489.2345
1,2024-01-01 10:00:10,4,04_Visual_Cortex,100099.33,58.85,18.37,100069.905,10006.9905,2427195.5458
2,2024-01-01 10:00:20,0,00_Motor_Cortex,100075.64,6.81,1.7,100069.3967,10006.9397,238265.2335
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,99921.1,-10.15,10.5,99934.75,9993.475,947881.1037
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,99976.0,20.76,-0.56,99955.0533,9995.5053,151531.8609
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,99951.4,6.05,70.68,99968.91,9996.891,7126283.7493
2,2024-01-01 10:00:20,4,04_Visual_Cortex,100075.86,-23.47,-82.32,100071.89,10007.189,-8472786.7106
3,2024-01-01 10:00:30,0,00_Motor_Cortex,100114.24,38.6,31.79,100080.6075,10008.0608,3567873.6574
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,99869.84,-51.26,-41.11,99918.5225,9991.8523,-4619832.8063
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,100049.66,73.66,52.9,99978.705,9997.8705,6025316.6355
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,99913.96,-37.44,-43.49,99955.1725,9995.5172,-4721282.6179
3,2024-01-01 10:00:30,4,04_Visual_Cortex,100052.3,-23.56,-0.09,100066.9925,10006.6992,-244763.8637
4,2024-01-01 10:00:40,0,00_Motor_Cortex,100096.13,-18.11,-56.71,100083.712,10008.3712,-5856998.91
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,99874.53,4.69,55.95,99909.724,9990.9724,5636806.7184
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,100097.62,47.96,-25.7,100002.488,10000.2488,-2090452.0092
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,99877.98,-35.98,1.46,99939.734,9993.9734,-213671.1513
4,2024-01-01 10:00:40,4,04_Visual_Cortex,100053.74,1.44,25.0,100064.342,10006.4342,2516017.8152
5,2024-01-01 10:00:50,0,00_Motor_Cortex,100048.37,-47.76,-29.65,100077.8217,10007.7822,-3445279.0887
