t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,2024-01-01 10:00:00,0,Parietal_Lobe,1,Visual_Cortex,544.45,0.0
0,2024-01-01 10:00:00,0,Parietal_Lobe,2,Prefrontal_Cortex,542.08,0.0
0,2024-01-01 10:00:00,0,Parietal_Lobe,3,Temporal_Lobe,533.35,0.0
0,2024-01-01 10:00:00,0,Parietal_Lobe,4,Motor_Cortex,548.05,0.0
0,2024-01-01 10:00:00,1,Visual_Cortex,0,Parietal_Lobe,532.96,0.0
0,2024-01-01 10:00:00,1,Visual_Cortex,2,Prefrontal_Cortex,540.1,0.0
0,2024-01-01 10:00:00,1,Visual_Cortex,3,Temporal_Lobe,543.2,0.0
0,2024-01-01 10:00:00,1,Visual_Cortex,4,Motor_Cortex,526.98,0.0
0,2024-01-01 10:00:00,2,Prefrontal_Cortex,0,Parietal_Lobe,528.61,0.0
0,2024-01-01 10:00:00,2,Prefrontal_Cortex,1,Visual_Cortex,567.88,0.0
0,2024-01-01 10:00:00,2,Prefrontal_Cortex,3,Temporal_Lobe,540.07,0.0
0,2024-01-01 10:00:00,2,Prefrontal_Cortex,4,Motor_Cortex,566.17,0.0
0,2024-01-01 10:00:00,3,Temporal_Lobe,0,Parietal_Lobe,538.42,0.0
0,2024-01-01 10:00:00,3,Temporal_Lobe,1,Visual_Cortex,528.26,0.0
0,2024-01-01 10:00:00,3,Temporal_Lobe,2,Prefrontal_Cortex,511.14,0.0
0,2024-01-01 10:00:00,3,Temporal_Lobe,4,Motor_Cortex,540.8,0.0
0,2024-01-01 10:00:00,4,Motor_Cortex,0,Parietal_Lobe,519.84,0.0
0,2024-01-01 10:00:00,4,Motor_Cortex,1,Visual_Cortex,543.13,0.0
0,2024-01-01 10:00:00,4,Motor_Cortex,2,Prefrontal_Cortex,543.33,0.0
0,2024-01-01 10:00:00,4,Motor_Cortex,3,Temporal_Lobe,511.98,0.0
1,2024-01-01 10:00:10,0,Parietal_Lobe,1,Visual_Cortex,608.75,0.0
1,2024-01-01 10:00:10,0,Parietal_Lobe,2,Prefrontal_Cortex,638.01,0.0
1,2024-01-01 10:00:10,0,Parietal_Lobe,3,Temporal_Lobe,609.92,0.0
1,2024-01-01 10:00:10,0,Parietal_Lobe,4,Motor_Cortex,633.59,0.0
1,2024-01-01 10:00:10,1,Visual_Cortex,0,Parietal_Lobe,608.79,0.0
1,2024-01-01 10:00:10,1,Visual_Cortex,2,Prefrontal_Cortex,611.8,0.0
1,2024-01-01 10:00:10,1,Visual_Cortex,3,Temporal_Lobe,608.96,0.0
1,2024-01-01 10:00:10,1,Visual_Cortex,4,Motor_Cortex,602.79,0.0
1,2024-01-01 10:00:10,2,Prefrontal_Cortex,0,Parietal_Lobe,619.55,0.0
1,2024-01-01 10:00:10,2,Prefrontal_Cortex,1,Visual_Cortex,632.78,0.0
1,2024-01-01 10:00:10,2,Prefrontal_Cortex,3,Temporal_Lobe,624.76,0.0
1,2024-01-01 10:00:10,2,Prefrontal_Cortex,4,Motor_Cortex,629.34,0.0
1,2024-01-01 10:00:10,3,Temporal_Lobe,0,Parietal_Lobe,626.15,0.0
1,2024-01-01 10:00:10,3,Temporal_Lobe,1,Visual_Cortex,638.78,0.0
1,2024-01-01 10:00:10,3,Temporal_Lobe,2,Prefrontal_Cortex,636.35,0.0
1,2024-01-01 10:00:10,3,Temporal_Lobe,4,Motor_Cortex,620.45,0.0
1,2024-01-01 10:00:10,4,Motor_Cortex,0,Parietal_Lobe,615.13,0.0
1,2024-01-01 10:00:10,4,Motor_Cortex,1,Visual_Cortex,610.88,0.0
1,2024-01-01 10:00:10,4,Motor_Cortex,2,Prefrontal_Cortex,641.59,0.0
1,2024-01-01 10:00:10,4,Motor_Cortex,3,Temporal_Lobe,613.46,0.0
