src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,ACC_Accounts_Payable,0,ACC_Accounts_Payable,0,1.0
0,ACC_Accounts_Payable,1,ACC_Inventory,2,0.2432
0,ACC_Accounts_Payable,2,ACC_Cash,1,0.209
0,ACC_Accounts_Payable,3,ACC_Travel_Exp,12,0.2097
0,ACC_Accounts_Payable,4,ACC_COGS,12,0.2212
0,ACC_Accounts_Payable,5,ACC_Sales_Revenue,2,0.2103
0,ACC_Accounts_Payable,6,ACC_Accounts_Receivable,12,0.284
0,ACC_Accounts_Payable,7,ACC_Payroll_Exp,4,0.1222
0,ACC_Accounts_Payable,8,ACC_Rent_Exp,4,0.14
1,ACC_Inventory,0,ACC_Accounts_Payable,3,0.1796
1,ACC_Inventory,1,ACC_Inventory,0,1.0
1,ACC_Inventory,2,ACC_Cash,0,0.1786
1,ACC_Inventory,3,ACC_Travel_Exp,12,0.2505
1,ACC_Inventory,4,ACC_COGS,11,0.8259
1,ACC_Inventory,5,ACC_Sales_Revenue,0,0.9552
1,ACC_Inventory,6,ACC_Accounts_Receivable,11,0.8657
1,ACC_Inventory,7,ACC_Payroll_Exp,8,0.114
1,ACC_Inventory,8,ACC_Rent_Exp,12,0.0958
2,ACC_Cash,0,ACC_Accounts_Payable,8,0.3534
2,ACC_Cash,1,ACC_Inventory,3,0.5035
2,ACC_Cash,2,ACC_Cash,0,1.0
2,ACC_Cash,3,ACC_Travel_Exp,11,0.1788
2,ACC_Cash,4,ACC_COGS,12,0.126
2,ACC_Cash,5,ACC_Sales_Revenue,3,0.4791
2,ACC_Cash,6,ACC_Accounts_Receivable,11,0.331
2,ACC_Cash,7,ACC_Payroll_Exp,11,0.2733
2,ACC_Cash,8,ACC_Rent_Exp,11,0.2811
3,ACC_Travel_Exp,0,ACC_Accounts_Payable,1,0.1504
3,ACC_Travel_Exp,1,ACC_Inventory,9,0.2632
3,ACC_Travel_Exp,2,ACC_Cash,10,0.346
3,ACC_Travel_Exp,3,ACC_Travel_Exp,0,1.0
3,ACC_Travel_Exp,4,ACC_COGS,1,0.1525
3,ACC_Travel_Exp,5,ACC_Sales_Revenue,8,0.2856
3,ACC_Travel_Exp,6,ACC_Accounts_Receivable,0,0.0367
3,ACC_Travel_Exp,7,ACC_Payroll_Exp,12,0.4804
3,ACC_Travel_Exp,8,ACC_Rent_Exp,12,0.3851
4,ACC_COGS,0,ACC_Accounts_Payable,11,0.0866
4,ACC_COGS,1,ACC_Inventory,12,0.7908
4,ACC_COGS,2,ACC_Cash,8,0.4933
4,ACC_COGS,3,ACC_Travel_Exp,2,0.2241
4,ACC_COGS,4,ACC_COGS,0,1.0
4,ACC_COGS,5,ACC_Sales_Revenue,12,0.8656
4,ACC_COGS,6,ACC_Accounts_Receivable,0,0.8083
4,ACC_COGS,7,ACC_Payroll_Exp,2,0.0674
4,ACC_COGS,8,ACC_Rent_Exp,2,0.0776
5,ACC_Sales_Revenue,0,ACC_Accounts_Payable,1,0.1587
5,ACC_Sales_Revenue,1,ACC_Inventory,0,0.9552
5,ACC_Sales_Revenue,2,ACC_Cash,0,0.211
5,ACC_Sales_Revenue,3,ACC_Travel_Exp,12,0.2244
5,ACC_Sales_Revenue,4,ACC_COGS,12,0.8467
5,ACC_Sales_Revenue,5,ACC_Sales_Revenue,0,1.0
5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,11,0.9047
5,ACC_Sales_Revenue,7,ACC_Payroll_Exp,8,0.1104
5,ACC_Sales_Revenue,8,ACC_Rent_Exp,12,0.0772
6,ACC_Accounts_Receivable,0,ACC_Accounts_Payable,12,0.0201
6,ACC_Accounts_Receivable,1,ACC_Inventory,12,0.6113
6,ACC_Accounts_Receivable,2,ACC_Cash,11,0.4503
6,ACC_Accounts_Receivable,3,ACC_Travel_Exp,4,0.2558
6,ACC_Accounts_Receivable,4,ACC_COGS,2,0.8908
6,ACC_Accounts_Receivable,5,ACC_Sales_Revenue,12,0.7166
6,ACC_Accounts_Receivable,6,ACC_Accounts_Receivable,0,1.0
6,ACC_Accounts_Receivable,7,ACC_Payroll_Exp,5,0.0311
6,ACC_Accounts_Receivable,8,ACC_Rent_Exp,12,0.0529
7,ACC_Payroll_Exp,0,ACC_Accounts_Payable,2,0.2184
7,ACC_Payroll_Exp,1,ACC_Inventory,6,0.1183
7,ACC_Payroll_Exp,2,ACC_Cash,12,0.3037
7,ACC_Payroll_Exp,3,ACC_Travel_Exp,1,0.5286
7,ACC_Payroll_Exp,4,ACC_COGS,3,0.0469
7,ACC_Payroll_Exp,5,ACC_Sales_Revenue,9,0.1142
7,ACC_Payroll_Exp,6,ACC_Accounts_Receivable,8,0.0319
7,ACC_Payroll_Exp,7,ACC_Payroll_Exp,0,1.0
7,ACC_Payroll_Exp,8,ACC_Rent_Exp,0,0.9524
8,ACC_Rent_Exp,0,ACC_Accounts_Payable,2,0.1618
8,ACC_Rent_Exp,1,ACC_Inventory,6,0.1011
8,ACC_Rent_Exp,2,ACC_Cash,12,0.3238
8,ACC_Rent_Exp,3,ACC_Travel_Exp,1,0.4737
8,ACC_Rent_Exp,4,ACC_COGS,3,0.0695
8,ACC_Rent_Exp,5,ACC_Sales_Revenue,9,0.1073
8,ACC_Rent_Exp,6,ACC_Accounts_Receivable,8,0.0538
8,ACC_Rent_Exp,7,ACC_Payroll_Exp,0,0.9524
8,ACC_Rent_Exp,8,ACC_Rent_Exp,0,1.0
