t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-01,2303842.32,1.3769,0.0,-95968.3,85639.81,0.0,2303842.32
1,2020-02,2598020.42,1.8623,188318.1,-116246.21,96790.48,0.0,2247308.5219
2,2020-03,2823417.04,1.7353,251956.814,-100458.77,87534.7,0.0,2386207.066
3,2020-04,2976800.1,1.6914,294055.8978,-50480.48,61329.02,0.0,2479438.1228
4,2020-05,3054178.6,1.3744,252366.6053,-45351.38,54030.61,0.0,2707334.1929
5,2020-06,3108882.62,1.2295,232171.3154,-54879.67,61102.48,0.0,2823418.9434
6,2020-07,3359708.1,1.6142,259686.3563,-111667.96,97310.11,0.0,2940520.1208
7,2020-08,3654034.08,1.7212,323855.8867,-124227.22,99945.38,0.0,3096607.9655
8,2020-09,3782361.76,1.1817,318091.6016,-95107.68,86229.73,0.0,3406463.5597
9,2020-10,3920565.5,1.7059,266979.0273,-56232.85,65121.78,0.0,3465118.7569
10,2020-11,4037366.64,1.6686,253856.9027,-46444.07,57232.17,0.0,3613774.8603
11,2020-12,4132519.04,1.1821,222071.2613,-58092.97,56458.7,0.0,3869999.4712
