t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,coherence,phase_shift
12,2020-W13,0,STK_001,0,STK_001,1.0,0.0
13,2020-W14,0,STK_001,0,STK_001,1.0,-0.0
14,2020-W15,0,STK_001,0,STK_001,1.0,0.0
15,2020-W16,0,STK_001,0,STK_001,1.0,0.0
16,2020-W17,0,STK_001,0,STK_001,1.0,-0.0
17,2020-W18,0,STK_001,0,STK_001,1.0,0.0
18,2020-W19,0,STK_001,0,STK_001,1.0,-0.0
19,2020-W20,0,STK_001,0,STK_001,1.0,0.0
20,2020-W21,0,STK_001,0,STK_001,1.0,0.0
21,2020-W22,0,STK_001,0,STK_001,1.0,-0.0
22,2020-W23,0,STK_001,0,STK_001,1.0,0.0
23,2020-W24,0,STK_001,0,STK_001,1.0,-0.0
24,2020-W25,0,STK_001,0,STK_001,1.0,0.0
25,2020-W26,0,STK_001,0,STK_001,1.0,0.0
26,2020-W27,0,STK_001,0,STK_001,1.0,0.0
27,2020-W28,0,STK_001,0,STK_001,1.0,-0.0
28,2020-W29,0,STK_001,0,STK_001,1.0,-0.0
29,2020-W30,0,STK_001,0,STK_001,1.0,0.0
30,2020-W31,0,STK_001,0,STK_001,1.0,-0.0
31,2020-W32,0,STK_001,0,STK_001,1.0,0.0
32,2020-W33,0,STK_001,0,STK_001,1.0,-0.0
33,2020-W34,0,STK_001,0,STK_001,1.0,-0.0
34,2020-W35,0,STK_001,0,STK_001,1.0,-0.0
35,2020-W36,0,STK_001,0,STK_001,1.0,-0.0
36,2020-W37,0,STK_001,0,STK_001,1.0,-0.0
37,2020-W38,0,STK_001,0,STK_001,1.0,0.0
38,2020-W39,0,STK_001,0,STK_001,1.0,0.0
39,2020-W40,0,STK_001,0,STK_001,1.0,0.0
40,2020-W41,0,STK_001,0,STK_001,1.0,-0.0
12,2020-W13,0,STK_001,1,USR_001,1.0,-2.4136
13,2020-W14,0,STK_001,1,USR_001,1.0,1.7515
14,2020-W15,0,STK_001,1,USR_001,1.0,1.5017
15,2020-W16,0,STK_001,1,USR_001,1.0,1.5378
16,2020-W17,0,STK_001,1,USR_001,1.0,1.8922
17,2020-W18,0,STK_001,1,USR_001,1.0,-2.7193
18,2020-W19,0,STK_001,1,USR_001,1.0,-1.8408
19,2020-W20,0,STK_001,1,USR_001,1.0,-1.7299
20,2020-W21,0,STK_001,1,USR_001,1.0,-1.9071
21,2020-W22,0,STK_001,1,USR_001,1.0,-2.3278
22,2020-W23,0,STK_001,1,USR_001,1.0,2.3936
23,2020-W24,0,STK_001,1,USR_001,1.0,0.8482
24,2020-W25,0,STK_001,1,USR_001,1.0,0.4419
