t_idx,time_label,node_idx,node_label,ik_suggested_delta,ik_strain_energy
0,2020-W01,0,USR_001,5346863.3784,22380346038261.1
0,2020-W01,1,STK_001,1084784.051,22380346038261.1
0,2020-W01,2,USR_002,790858.1985,22380346038261.1
0,2020-W01,3,USR_003,855329.6002,22380346038261.1
0,2020-W01,4,USR_004,854334.5634,22380346038261.1
0,2020-W01,5,USR_006,932950.4826,22380346038261.1
0,2020-W01,6,USR_007,872866.9263,22380346038261.1
0,2020-W01,7,USR_008,937129.5815,22380346038261.1
0,2020-W01,8,USR_009,885825.8084,22380346038261.1
0,2020-W01,9,USR_010,885071.9627,22380346038261.1
0,2020-W01,10,STK_002,939478.8018,22380346038261.1
0,2020-W01,11,USR_005,1030019.5767,22380346038261.1
0,2020-W01,12,STK_003,1283842.439,22380346038261.1
0,2020-W01,13,STK_004,1683858.7866,22380346038261.1
0,2020-W01,14,STK_005,1549941.0482,22380346038261.1
1,2020-W02,0,USR_001,5459713.3427,23136815629010.195
1,2020-W02,1,STK_001,1496000.4255,23136815629010.195
1,2020-W02,2,USR_002,858235.0081,23136815629010.195
1,2020-W02,3,USR_003,1005150.5986,23136815629010.195
1,2020-W02,4,USR_004,972154.2688,23136815629010.195
1,2020-W02,5,USR_006,992025.4654,23136815629010.195
1,2020-W02,6,USR_007,852426.046,23136815629010.195
1,2020-W02,7,USR_008,952770.1128,23136815629010.195
1,2020-W02,8,USR_009,943296.9122,23136815629010.195
1,2020-W02,9,USR_010,948264.0556,23136815629010.195
1,2020-W02,10,STK_002,1277684.6475,23136815629010.195
1,2020-W02,11,USR_005,834016.2575,23136815629010.195
1,2020-W02,12,STK_003,1123723.7513,23136815629010.195
1,2020-W02,13,STK_004,1019523.112,23136815629010.195
1,2020-W02,14,STK_005,1580313.9694,23136815629010.195
2,2020-W03,0,USR_001,10031989.9955,0.4757
2,2020-W03,1,STK_001,0.0,0.4757
2,2020-W03,2,USR_002,-10743303.9306,0.4757
2,2020-W03,3,USR_003,795835.286,0.4757
2,2020-W03,4,USR_004,10412506.972,0.4757
2,2020-W03,5,USR_006,-3625058.0804,0.4757
2,2020-W03,6,USR_007,1899078.2924,0.4757
2,2020-W03,7,USR_008,-1812915.1112,0.4757
2,2020-W03,8,USR_009,-2659086.8817,0.4757
2,2020-W03,9,USR_010,-2380063.0824,0.4757
2,2020-W03,10,STK_002,-0.0,0.4757
2,2020-W03,11,USR_005,-1918983.4597,0.4757
2,2020-W03,12,STK_003,0.0,0.4757
2,2020-W03,13,STK_004,0.0,0.4757
2,2020-W03,14,STK_005,-0.0,0.4757
3,2020-W04,0,USR_001,9935362.276,1.1371
3,2020-W04,1,STK_001,0.0,1.1371
3,2020-W04,2,USR_002,-11580721.0812,1.1371
3,2020-W04,3,USR_003,880734.7671,1.1371
3,2020-W04,4,USR_004,9762181.2094,1.1371
3,2020-W04,5,USR_006,-4325590.4457,1.1371
3,2020-W04,6,USR_007,3046356.5599,1.1371
3,2020-W04,7,USR_008,-1596654.5509,1.1371
3,2020-W04,8,USR_009,-2249336.8295,1.1371
3,2020-W04,9,USR_010,-2608945.3078,1.1371
3,2020-W04,10,STK_002,-0.0,1.1371
3,2020-W04,11,USR_005,-1263386.5973,1.1371
3,2020-W04,12,STK_003,0.0,1.1371
3,2020-W04,13,STK_004,0.0,1.1371
3,2020-W04,14,STK_005,-0.0,1.1371
4,2020-W05,0,USR_001,10085707.6727,2.5803
4,2020-W05,1,STK_001,-0.0,2.5803
4,2020-W05,2,USR_002,-13008395.5225,2.5803
4,2020-W05,3,USR_003,551037.8127,2.5803
4,2020-W05,4,USR_004,10458326.1543,2.5803
4,2020-W05,5,USR_006,-3413238.595,2.5803
4,2020-W05,6,USR_007,-1150309.7815,2.5803
4,2020-W05,7,USR_008,-1584921.4994,2.5803
4,2020-W05,8,USR_009,2873101.3882,2.5803
4,2020-W05,9,USR_010,-5325261.8495,2.5803
4,2020-W05,10,STK_002,-0.0,2.5803
4,2020-W05,11,USR_005,513954.2199,2.5803
4,2020-W05,12,STK_003,0.0,2.5803
4,2020-W05,13,STK_004,0.0,2.5803
4,2020-W05,14,STK_005,0.0,2.5803
5,2020-W06,0,USR_001,10252123.3499,26.8275
5,2020-W06,1,STK_001,0.0,26.8275
5,2020-W06,2,USR_002,5079290.6702,26.8275
5,2020-W06,3,USR_003,-4751708.5492,26.8275
5,2020-W06,4,USR_004,4747166.8079,26.8275
5,2020-W06,5,USR_006,-15892282.2573,26.8275
5,2020-W06,6,USR_007,-1342938.8568,26.8275
5,2020-W06,7,USR_008,-5717024.7644,26.8275
5,2020-W06,8,USR_009,3477277.081,26.8275
5,2020-W06,9,USR_010,12637570.5735,26.8275
5,2020-W06,10,STK_002,-0.0,26.8275
5,2020-W06,11,USR_005,-8489474.055,26.8275
5,2020-W06,12,STK_003,-0.0,26.8275
5,2020-W06,13,STK_004,-0.0,26.8275
5,2020-W06,14,STK_005,-0.0,26.8275
6,2020-W07,0,USR_001,8995090.9663,98.9622
6,2020-W07,1,STK_001,0.0,98.9622
6,2020-W07,2,USR_002,14681373.6246,98.9622
6,2020-W07,3,USR_003,-18384037.6718,98.9622
6,2020-W07,4,USR_004,5443095.201,98.9622
