t_idx,time_label,node_idx,node_label,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-W01,0,STK_001,7791.0,2.9619,0.0,0.0
0,2020-W01,1,USR_001,3472015.77,1.8469,0.0,0.0
0,2020-W01,2,USR_002,10284891.48,1.4803,0.0,0.0
0,2020-W01,3,USR_003,2950512.24,1.1333,0.0,0.0
0,2020-W01,4,USR_004,5040383.15,1.5793,0.0,0.0
0,2020-W01,5,USR_006,70029.19,1.7507,0.0,0.0
0,2020-W01,6,USR_007,10404478.41,1.553,0.0,0.0
0,2020-W01,7,USR_008,1565639.57,1.4047,0.0,0.0
0,2020-W01,8,USR_009,2765801.56,1.2919,0.0,0.0
0,2020-W01,9,USR_010,5753717.79,1.772,0.0,0.0
0,2020-W01,10,STK_002,7209.0,3.0009,0.0,0.0
0,2020-W01,11,USR_005,1053625.07,1.264,0.0,0.0
0,2020-W01,12,STK_003,13998.0,3.1096,0.0,0.0
0,2020-W01,13,STK_004,2908.0,2.7182,0.0,0.0
0,2020-W01,14,STK_005,16818.0,3.2446,0.0,0.0
1,2020-W02,0,STK_001,7791.0,3.0086,0.0,14680449.6
1,2020-W02,1,USR_001,4323341.4,1.5724,2088538.775,-10442693.875
1,2020-W02,2,USR_002,18059197.49,1.7029,3259515.32,-16297576.6
1,2020-W02,3,USR_003,3129735.11,1.8576,494419.94,-2472099.7
1,2020-W02,4,USR_004,1293457.29,1.2454,1995006.315,-9975031.575
1,2020-W02,5,USR_006,1873831.23,1.829,2350757.31,-11753786.55
1,2020-W02,6,USR_007,9871737.49,1.9224,2694510.87,-13472554.35
1,2020-W02,7,USR_008,2477540.73,1.8743,292542.66,-1462713.3
1,2020-W02,8,USR_009,3971236.04,1.2104,614585.89,-3072929.45
1,2020-W02,9,USR_010,6304122.88,1.4641,822823.62,-4114118.1
1,2020-W02,10,STK_002,7209.0,3.1461,0.0,14680449.6
1,2020-W02,11,USR_005,703577.37,1.5885,67748.9,-338744.5
1,2020-W02,12,STK_003,13998.0,2.7999,0.0,14680449.6
1,2020-W02,13,STK_004,2908.0,3.0756,0.0,14680449.6
1,2020-W02,14,STK_005,16818.0,2.9926,0.0,14680449.6
2,2020-W03,0,STK_001,7791.0,3.0887,0.0,22694642.3518
2,2020-W03,1,USR_001,1750636.75,1.9596,4259277.0512,-21296385.2562
2,2020-W03,2,USR_002,16776077.92,1.8636,3814856.4484,-19074282.2418
2,2020-W03,3,USR_003,3473980.41,1.5384,432526.4156,-2162632.0779
