t_idx,time_label,node_idx,node_label,fk_echo_impact
0,2020-W01,0,STK_001,2083024.4305
0,2020-W01,1,USR_001,-3709519.911
0,2020-W01,2,USR_002,1445956.8939
0,2020-W01,3,USR_003,1125397.4001
0,2020-W01,4,USR_004,416493.6947
0,2020-W01,5,USR_006,-2929249.5586
0,2020-W01,6,USR_007,4948150.606
0,2020-W01,7,USR_008,200792.1784
0,2020-W01,8,USR_009,-25584.5741
0,2020-W01,9,USR_010,-1053389.3903
0,2020-W01,10,STK_002,119333.5753
0,2020-W01,11,USR_005,-419047.3391
0,2020-W01,12,STK_003,-858189.8233
0,2020-W01,13,STK_004,-367847.5696
0,2020-W01,14,STK_005,-976320.613
1,2020-W02,0,STK_001,-2359073.3897
1,2020-W02,1,USR_001,-7594830.9038
1,2020-W02,2,USR_002,8507211.7393
1,2020-W02,3,USR_003,-207445.3655
1,2020-W02,4,USR_004,-3904932.6913
1,2020-W02,5,USR_006,1189949.2729
1,2020-W02,6,USR_007,-249587.1565
1,2020-W02,7,USR_008,727332.7937
1,2020-W02,8,USR_009,984603.9378
1,2020-W02,9,USR_010,499797.0807
1,2020-W02,10,STK_002,60243.061
1,2020-W02,11,USR_005,47901.2928
1,2020-W02,12,STK_003,2636798.077
1,2020-W02,13,STK_004,2297899.6103
1,2020-W02,14,STK_005,-2635867.3587
2,2020-W03,0,STK_001,868986.4601
2,2020-W03,1,USR_001,2581807.9092
2,2020-W03,2,USR_002,-1310419.5572
2,2020-W03,3,USR_003,321230.3333
2,2020-W03,4,USR_004,7365859.6153
2,2020-W03,5,USR_006,1225186.0642
2,2020-W03,6,USR_007,-3181406.5768
2,2020-W03,7,USR_008,-1142987.6511
2,2020-W03,8,USR_009,-1337688.575
2,2020-W03,9,USR_010,-1271114.462
2,2020-W03,10,STK_002,55843.8436
2,2020-W03,11,USR_005,-3250467.1
2,2020-W03,12,STK_003,-253460.4943
2,2020-W03,13,STK_004,-126405.1843
2,2020-W03,14,STK_005,-544964.6251
3,2020-W04,0,STK_001,-258861.8548
3,2020-W04,1,USR_001,-1900494.1082
3,2020-W04,2,USR_002,-2182898.3867
3,2020-W04,3,USR_003,109569.9338
3,2020-W04,4,USR_004,-1446117.2111
3,2020-W04,5,USR_006,54092.6608
3,2020-W04,6,USR_007,942529.1262
3,2020-W04,7,USR_008,1147413.8207
3,2020-W04,8,USR_009,2992350.0781
3,2020-W04,9,USR_010,-1596358.5638
3,2020-W04,10,STK_002,187904.4226
3,2020-W04,11,USR_005,1879912.6503
3,2020-W04,12,STK_003,-113147.4141
3,2020-W04,13,STK_004,84463.294
3,2020-W04,14,STK_005,99641.5523
4,2020-W05,0,STK_001,213897.347
4,2020-W05,1,USR_001,1137364.4423
4,2020-W05,2,USR_002,-135867.2536
4,2020-W05,3,USR_003,73802.0412
4,2020-W05,4,USR_004,2434085.6691
4,2020-W05,5,USR_006,1980806.6572
4,2020-W05,6,USR_007,843960.6118
4,2020-W05,7,USR_008,8974.429
4,2020-W05,8,USR_009,-5602351.7671
4,2020-W05,9,USR_010,2477841.9964
4,2020-W05,10,STK_002,264093.8841
4,2020-W05,11,USR_005,-3218616.8263
4,2020-W05,12,STK_003,645673.8325
4,2020-W05,13,STK_004,494607.1037
4,2020-W05,14,STK_005,-1618272.1672
5,2020-W06,0,STK_001,260430.3109
