t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,0.0,4.3039,0.0,0.0,1
2,2020-03,0.0,11.5055,0.7071,2.7256,1
3,2020-04,0.0,30.1137,0.5773,0.6091,1
4,2020-05,0.0,11.6496,399.7626,2.5435,1
5,2020-06,0.0,12.516,1.2948,1.8012,1
6,2020-07,0.0,14.9082,0.6899,2.732,1
7,2020-08,0.0,14.6194,2.4948,1.3365,1
8,2020-09,0.0,20.089,19.8743,0.5209,1
9,2020-10,0.0,10.8436,1.1489,6.2464,1
10,2020-11,0.0,12.8992,1.1578,1.8105,1
11,2020-12,0.0,12.7916,1.0856,1.7716,1
12,2021-01,0.0,18.8117,1.7535,0.8578,1
13,2021-02,0.0,7.7258,1.0659,0.5232,1
14,2021-03,0.0,8.9286,2.181,3.3366,1
15,2021-04,0.0,13.8274,1.2553,0.4728,1
16,2021-05,0.0,10.9549,3.7027,1.6279,1
17,2021-06,0.0,11.7411,0.3818,0.9248,1
18,2021-07,0.0,9.8131,6.0284,0.7389,1
19,2021-08,0.0,4.716,1.5096,1.6089,1
20,2021-09,0.0,3.7895,2.2136,1.3182,1
21,2021-10,0.0,4.1084,0.4452,0.1032,1
22,2021-11,0.0,3.1281,0.3724,1.0945,1
23,2021-12,0.0,36.1212,5.7124,19.9701,1
