t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,44.2400,0.0000,0.0000,44.2400,0.0000,0.0000
0,1,-42.7600,0.0000,0.0000,42.7600,0.0000,0.0000
0,2,26.9800,0.0000,0.0000,26.9800,0.0000,0.0000
0,3,-48.9300,0.0000,0.0000,48.9300,0.0000,0.0000
0,4,20.4700,0.0000,0.0000,20.4700,0.0000,0.0000
1,0,44.5300,0.2900,0.0000,44.3850,6.8966,2.0000
1,1,-16.8700,25.8900,0.0000,29.8150,0.0772,2.0000
1,2,-65.3000,-92.2800,0.0000,46.1400,0.0217,-2.0000
1,3,35.1000,84.0300,0.0000,42.0150,0.0238,2.0000
1,4,2.5400,-17.9300,0.0000,11.5050,0.1115,-2.0000
2,0,16.0800,-28.4500,-28.7400,34.9500,0.0742,-1006.5735
2,1,-13.7600,3.1100,-22.7800,24.4633,0.0866,-557.0053
2,2,-69.6600,-4.3600,87.9200,53.9800,0.0235,4745.8190
2,3,34.6700,-0.4300,-84.4600,39.5667,0.0252,-3341.8115
2,4,32.6700,30.1300,48.0600,18.5600,0.0504,893.5130
3,0,55.6200,39.5400,67.9900,40.1175,0.0413,2729.2234
3,1,37.1800,50.9400,47.8300,27.6425,0.0488,1324.6284
3,2,-27.2500,42.4100,46.7700,47.2975,0.0204,2212.9699
3,3,9.3800,-25.2900,-24.8600,32.0200,0.0242,-796.6283
3,4,-74.9300,-107.6000,-137.7300,32.6525,0.0195,-4499.3258
4,0,-31.6900,-87.3100,-126.8500,38.4320,0.0238,-4877.1753
4,1,12.3700,-24.8100,-75.7500,24.5880,0.0390,-1863.5093
4,2,37.0500,64.3000,21.8900,45.2480,0.0186,991.6749
4,3,16.2700,6.8900,32.1800,28.8700,0.0269,929.2221
4,4,-34.0000,40.9300,148.5300,32.9220,0.0190,4890.6813
5,0,-18.7300,12.9600,100.2700,35.1483,0.0251,3524.6490
5,1,-38.7100,-51.0800,-26.2700,26.9417,0.0304,-709.3099
5,2,-26.2900,-63.3400,-127.6400,42.0883,0.0183,-5373.3111
5,3,33.3600,17.0900,10.2000,29.6183,0.0295,302.6105
5,4,50.3700,84.3700,43.4400,35.8300,0.0167,1557.8662
6,0,-12.6900,6.0400,-6.9200,31.9400,0.0268,-220.8629
6,1,-21.6200,17.0900,68.1700,26.1814,0.0323,1785.3392
6,2,48.3000,74.5900,137.9300,42.9757,0.0171,5928.9147
6,3,-16.9600,-50.3200,-67.4100,27.8100,0.0259,-1875.9759
6,4,2.9700,-47.4000,-131.7700,31.1357,0.0171,-4103.5659
7,0,-25.6300,-12.9400,-18.9800,31.1513,0.0286,-591.6212
7,1,19.0800,40.7000,23.6100,25.2938,0.0317,598.4749
7,2,-58.0800,-106.3800,-180.9700,44.8637,0.0152,-8120.6138
7,3,14.6700,31.6300,81.9500,26.1675,0.0269,2145.2770
7,4,49.9600,46.9900,94.3900,33.4887,0.0176,3161.8282
8,0,14.1400,39.7700,52.7100,29.2611,0.0276,1543.4492
8,1,18.3300,-0.7500,-41.4500,24.5200,0.0335,-1016.3791
8,2,-37.8400,20.2400,126.6200,44.0833,0.0160,5582.1548
8,3,19.3200,4.6500,-26.9800,25.4067,0.0285,-685.3393
8,4,-13.9500,-63.9100,-110.9000,31.3178,0.0173,-3474.2484
9,0,51.0300,36.8900,-2.8800,31.4380,0.0274,-89.5301
9,1,9.3300,-9.0000,-8.2500,23.0010,0.0348,-190.0714
9,2,-77.6400,-39.8000,-60.0400,47.4390,0.0166,-2848.8985
9,3,9.0200,-10.3000,-14.9500,23.7680,0.0297,-355.6371
9,4,8.2600,22.2100,86.1200,29.0120,0.0181,2498.9148
10,0,-10.1900,-61.2200,-98.1100,29.5064,0.0256,-2896.4364
10,1,0.2400,-9.0900,-0.0900,20.9318,0.0361,-2.2119
10,2,7.2600,84.9000,124.7000,43.7864,0.0157,5461.4940
10,3,23.8100,14.7900,25.0900,23.7718,0.0310,596.8936
10,4,-21.1200,-29.3800,-51.5900,28.2945,0.0187,-1460.2660
11,0,-76.7700,-66.5800,-5.3600,33.4450,0.0243,-180.8851
11,1,33.4600,33.2200,42.3100,21.9758,0.0361,930.9952
11,2,-56.8300,-64.0900,-148.9900,44.8733,0.0158,-6686.6904
11,3,48.3200,24.5100,9.7200,25.8175,0.0320,251.7300
11,4,51.8200,72.9400,102.3200,30.2550,0.0181,3097.0099
12,0,-15.6000,61.1700,127.7500,32.0723,0.0228,4098.6334
12,1,-51.3100,-84.7700,-117.9900,24.2323,0.0277,-2861.5213
12,2,49.3300,106.1600,170.2500,45.2162,0.0147,7699.6141
12,3,14.2600,-34.0600,-58.5700,24.9285,0.0312,-1461.1219
12,4,3.3200,-48.5000,-121.4400,28.1831,0.0182,-3423.4367
13,0,13.6400,29.2400,-31.9300,30.7557,0.0232,-981.3517
