t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,0,771.3600,1.9985,0.0000,0.0000
0,1,797.0000,1.9974,0.0000,0.0000
0,2,786.7400,1.9989,0.0000,0.0000
0,3,776.2500,1.9980,0.0000,0.0000
0,4,779.7300,1.9971,0.0000,0.0000
1,0,854.5500,1.9981,9.2750,21.2050
1,1,840.8500,1.9966,24.5150,-54.9950
1,2,856.4200,1.9998,16.9800,-17.3200
1,3,836.3000,1.9988,5.9350,37.9050
1,4,839.5600,1.9996,10.8750,13.2050
2,0,830.4200,1.9985,10.8340,20.1289
2,1,850.5200,1.9998,25.9534,-55.4683
2,2,835.4000,1.9994,15.0681,-1.0417
2,3,852.7800,1.9987,11.0791,18.9031
2,4,838.5800,1.9986,11.3642,17.4779
3,0,928.6500,1.9994,9.8715,19.8199
3,1,890.4500,1.9972,23.3376,-47.5103
3,2,893.7100,1.9980,14.2888,-2.2666
3,3,881.9500,1.9989,9.9894,19.2306
3,4,891.0400,1.9983,11.6902,10.7264
4,0,933.2600,1.9989,9.3181,26.7520
4,1,915.2800,1.9982,23.1819,-42.5672
4,2,889.4000,1.9987,13.5078,5.8035
4,3,925.8200,1.9985,15.9446,-6.3805
4,4,957.0400,1.9993,11.3900,16.3922
5,0,939.1200,1.9983,9.9820,20.6220
5,1,934.4500,1.9992,21.1791,-35.3638
5,2,978.3100,1.9984,12.3699,8.6822
5,3,955.4200,1.9982,14.6420,-2.6780
5,4,945.8000,1.9991,12.3589,8.7376
6,0,985.1700,1.9997,11.3338,16.0769
6,1,987.9300,1.9971,22.5978,-40.2435
6,2,972.2500,1.9977,12.1673,11.9094
6,3,969.0300,1.9978,14.4123,0.6840
6,4,970.9800,1.9978,12.2345,11.5731
7,0,992.7000,1.9991,11.7965,18.6810
7,1,997.3900,1.9993,21.5901,-30.2870
7,2,986.8500,1.9983,13.8278,8.5241
7,3,987.8500,1.9995,15.9250,-1.9619
7,4,998.5100,1.9996,14.5239,5.0438
8,0,1014.1300,1.9981,11.1452,19.8295
8,1,1009.6700,1.9982,21.2818,-30.8538
8,2,1020.2600,1.9982,13.0481,10.3149
8,3,1027.0400,1.9989,15.0147,0.4820
