t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,stiffness_k,partial_corr
0,2020-01,0,00_ACC_Accounts_Payable,0,00_ACC_Accounts_Payable,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,1,01_ACC_Accounts_Receivable,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,2,02_ACC_COGS,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,3,03_ACC_Cash,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,4,04_ACC_Inventory,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,5,05_ACC_Payroll_Exp,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,6,06_ACC_Rent_Exp,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,7,07_ACC_Sales_Revenue,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,8,08_ACC_Travel_Exp,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,9,09_UNKNOWN_LEAK,0.0,0.0
0,2020-01,0,00_ACC_Accounts_Payable,10,10_ACC_Equity_Capital,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,0,00_ACC_Accounts_Payable,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,1,01_ACC_Accounts_Receivable,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,2,02_ACC_COGS,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,3,03_ACC_Cash,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,4,04_ACC_Inventory,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,5,05_ACC_Payroll_Exp,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,6,06_ACC_Rent_Exp,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,7,07_ACC_Sales_Revenue,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,8,08_ACC_Travel_Exp,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,9,09_UNKNOWN_LEAK,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,10,10_ACC_Equity_Capital,0.0,0.0
0,2020-01,2,02_ACC_COGS,0,00_ACC_Accounts_Payable,0.0,0.0
