t_idx,time_label,node_idx,node_label,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-01,0,ACC_Accounts_Payable,55952.86,-0.0,0.0,0.0
0,2020-01,1,ACC_Inventory,504092.21,-0.0,0.0,0.0
0,2020-01,2,ACC_Accounts_Receivable,147433.66,-0.0,0.0,0.0
0,2020-01,3,ACC_Cash,468190.79,1.485,0.0,0.0
0,2020-01,4,ACC_Payroll_Exp,18973.66,-0.0,0.0,0.0
0,2020-01,5,ACC_Rent_Exp,6683.35,-0.0,0.0,0.0
0,2020-01,6,ACC_Travel_Exp,6152.2,-0.0,0.0,0.0
0,2020-01,7,ACC_COGS,51860.65,-0.0,0.0,0.0
0,2020-01,8,ACC_Sales_Revenue,147433.66,-0.0,0.0,0.0
0,2020-01,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
0,2020-01,10,ACC_Equity_Capital,1000000.0,-0.0,0.0,0.0
1,2020-02,0,ACC_Accounts_Payable,73445.52,-0.0,8746.33,9919.865
1,2020-02,1,ACC_Inventory,480882.36,-0.0,11604.925,17847.1
1,2020-02,2,ACC_Accounts_Receivable,296814.3,-0.0,74690.32,-48470.305
1,2020-02,3,ACC_Cash,436575.59,1.8545,15807.6,18659.3
1,2020-02,4,ACC_Payroll_Exp,37218.87,-0.0,9122.605,6684.995
1,2020-02,5,ACC_Rent_Exp,12052.11,-0.0,2684.38,13123.22
1,2020-02,6,ACC_Travel_Exp,11059.53,-0.0,2453.665,13353.935
1,2020-02,7,ACC_COGS,116481.89,-0.0,32310.62,-20705.695
1,2020-02,8,ACC_Sales_Revenue,317639.13,-0.0,85102.735,-10412.415
1,2020-02,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
1,2020-02,10,ACC_Equity_Capital,1000000.0,-0.0,0.0,0.0
2,2020-03,0,ACC_Accounts_Payable,76885.41,-0.0,9165.1371,8629.0369
2,2020-03,1,ACC_Inventory,470474.21,-0.0,14052.2701,30407.7342
2,2020-03,2,ACC_Accounts_Receivable,312555.28,-0.0,74406.9168,-24192.3762
2,2020-03,3,ACC_Cash,452531.66,1.5119,12907.0411,41512.321
2,2020-03,4,ACC_Payroll_Exp,52000.91,-0.0,13508.0044,-600.9632
2,2020-03,5,ACC_Rent_Exp,17855.72,-0.0,4562.2524,8344.7887
2,2020-03,6,ACC_Travel_Exp,16928.44,-0.0,4405.2159,8501.8253
2,2020-03,7,ACC_COGS,172637.09,-0.0,49347.1373,-35294.8672
2,2020-03,8,ACC_Sales_Revenue,418097.9,-0.0,111714.4163,-37307.4995
2,2020-03,9,UNKNOWN_LEAK,0.0,-0.0,0.0,0.0
2,2020-03,10,ACC_Equity_Capital,1000000.0,-0.0,0.0,0.0
3,2020-04,0,ACC_Accounts_Payable,71536.84,-0.0,8027.7189,10280.9235
3,2020-04,1,ACC_Inventory,501073.34,-0.0,13987.2546,37299.7468
3,2020-04,2,ACC_Accounts_Receivable,255070.03,-0.0,64449.7041,6124.5393
3,2020-04,3,ACC_Cash,464555.75,1.3455,12349.1068,42567.4301
3,2020-04,4,ACC_Payroll_Exp,70834.92,-0.0,19066.5687,-6717.462
3,2020-04,5,ACC_Rent_Exp,23161.03,-0.0,6176.5468,6172.56
3,2020-04,6,ACC_Travel_Exp,23796.31,-0.0,6592.4254,5756.6814
