t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0.0,0
1,2020-W02,0.0,7.2683,0.0,0.0,1
2,2020-W03,0.0,11.3925,0.6302,0.8102,1
3,2020-W04,0.0,6.5255,1.2494,0.5416,1
4,2020-W05,0.0,9.375,2.8136,1.1977,1
5,2020-W06,0.0,9.2,142.4611,1.8424,1
6,2020-W07,0.0,9.413,10.8824,2.059,1
7,2020-W08,0.0,8.3298,1.3626,2.9912,1
8,2020-W09,0.0,4.4205,27.5837,7.3503,1
9,2020-W10,0.0,6.4844,3.3613,7.7164,1
10,2020-W11,0.0,7.3419,1.6603,7.7999,1
11,2020-W12,0.0,7.2869,13.0551,7.6977,1
12,2020-W13,0.0,5.2184,4.8732,6.9657,1
13,2020-W14,0.0,4.7171,6.8434,6.4479,1
14,2020-W15,0.0,7.0408,3.5624,4.5172,1
15,2020-W16,0.0,8.0314,9.8054,2.7741,1
16,2020-W17,0.0,5.1529,4.4425,6.2523,1
17,2020-W18,0.0,6.1605,6.1663,11.0526,1
18,2020-W19,0.0,6.8053,9.4821,8.6472,1
19,2020-W20,0.0,7.7175,69.6435,3.4239,1
20,2020-W21,0.0,8.136,8.6624,7.1874,1
21,2020-W22,0.0,9.3607,119.985,10.8342,1
22,2020-W23,0.0,5.6211,4.0259,4.0339,1
23,2020-W24,0.0,4.9268,3.7821,5.9672,1
24,2020-W25,0.0,5.1471,2.6597,6.2961,1
25,2020-W26,0.0,9.0137,3.1253,18.0424,1
26,2020-W27,0.0,7.7481,11.0301,9.7398,1
27,2020-W28,0.0,8.8748,2.2621,3.1188,1
28,2020-W29,0.0,8.2237,4.7998,3.39,1
29,2020-W30,0.0,7.1923,3.9983,32.5226,1
30,2020-W31,0.0,4.9692,257.1506,3.7553,1
31,2020-W32,0.0,11.6503,12.0088,7.1521,1
32,2020-W33,0.0,9.4416,5.0958,17.1282,1
33,2020-W34,0.0,10.5572,6.0326,37.529,1
34,2020-W35,0.0,6.8349,2.9596,6.3807,1
35,2020-W36,0.0,8.7162,2.4204,3.9797,1
36,2020-W37,0.0,9.844,48.7432,9.8738,1
37,2020-W38,0.0,12.3515,6008.2151,9.1747,1
38,2020-W39,0.0,8.402,2.0142,4.072,1
39,2020-W40,0.0,10.9272,4.5944,14.9296,1
40,2020-W41,0.0,10.6754,11.3774,6.2483,1
41,2020-W42,0.0,7.8331,4.3111,10.2914,1
42,2020-W43,0.0,7.8724,3.3953,4.2663,1
43,2020-W44,0.0,8.9342,6.5261,6.4466,1
44,2020-W45,0.0,11.4329,20.8508,7.2836,1
45,2020-W46,0.0,8.9056,2.5207,3.5847,1
46,2020-W47,0.0,10.5031,3.5437,6.562,1
47,2020-W48,0.0,9.9465,17.1038,6.2435,1
48,2020-W49,0.0,9.8437,5.4406,12.538,1
49,2020-W50,0.0,9.0913,25.3408,3.6174,1
50,2020-W51,0.0,8.5827,11.0517,6.0491,1
51,2020-W52,0.0,13.8141,10.2668,5.3693,1
