t_idx,time_label,node_idx,node_label,fk_echo_impact
0,2020-W01,0,ACC_Accounts_Payable,-11648.77
0,2020-W01,1,ACC_Inventory,-4092.3045
0,2020-W01,2,ACC_Cash,-1577.3
0,2020-W01,3,ACC_Travel_Exp,236.595
0,2020-W01,4,ACC_COGS,2361.1612
0,2020-W01,5,ACC_Sales_Revenue,-11688.16
0,2020-W01,6,ACC_Accounts_Receivable,1753.224
0,2020-W01,7,ACC_Payroll_Exp,0.0
0,2020-W01,8,ACC_Rent_Exp,0.0
0,2020-W01,9,UNKNOWN_LEAK,0.0
1,2020-W02,0,ACC_Accounts_Payable,-10413.43
1,2020-W02,1,ACC_Inventory,-9019.9555
1,2020-W02,2,ACC_Cash,-940.0
1,2020-W02,3,ACC_Travel_Exp,141.0
1,2020-W02,4,ACC_COGS,2915.0078
1,2020-W02,5,ACC_Sales_Revenue,-18504.48
1,2020-W02,6,ACC_Accounts_Receivable,2775.672
1,2020-W02,7,ACC_Payroll_Exp,0.0
1,2020-W02,8,ACC_Rent_Exp,0.0
1,2020-W02,9,UNKNOWN_LEAK,0.0
2,2020-W03,0,ACC_Accounts_Payable,-13505.3
2,2020-W03,1,ACC_Inventory,-11716.385
2,2020-W03,2,ACC_Cash,-476.49
2,2020-W03,3,ACC_Travel_Exp,71.4735
2,2020-W03,4,ACC_COGS,3783.2527
2,2020-W03,5,ACC_Sales_Revenue,-23979.2
2,2020-W03,6,ACC_Accounts_Receivable,3596.88
2,2020-W03,7,ACC_Payroll_Exp,0.0
2,2020-W03,8,ACC_Rent_Exp,0.0
2,2020-W03,9,UNKNOWN_LEAK,0.0
3,2020-W04,0,ACC_Accounts_Payable,-10796.58
3,2020-W04,1,ACC_Inventory,-11391.833
3,2020-W04,2,ACC_Cash,-27597.73
3,2020-W04,3,ACC_Travel_Exp,291.108
3,2020-W04,4,ACC_COGS,3328.262
3,2020-W04,5,ACC_Sales_Revenue,-24510.13
3,2020-W04,6,ACC_Accounts_Receivable,3676.5195
3,2020-W04,7,ACC_Payroll_Exp,2846.049
3,2020-W04,8,ACC_Rent_Exp,1002.5025
3,2020-W04,9,UNKNOWN_LEAK,0.0
4,2020-W05,0,ACC_Accounts_Payable,-9588.78
4,2020-W05,1,ACC_Inventory,-12786.103
4,2020-W05,2,ACC_Cash,-2409.76
4,2020-W05,3,ACC_Travel_Exp,361.464
4,2020-W05,4,ACC_COGS,3356.2324
4,2020-W05,5,ACC_Sales_Revenue,-25700.15
4,2020-W05,6,ACC_Accounts_Receivable,3855.0225
4,2020-W05,7,ACC_Payroll_Exp,0.0
4,2020-W05,8,ACC_Rent_Exp,0.0
4,2020-W05,9,UNKNOWN_LEAK,0.0
5,2020-W06,0,ACC_Accounts_Payable,-10714.26
5,2020-W06,1,ACC_Inventory,-13449.851
5,2020-W06,2,ACC_Cash,375.2641
5,2020-W06,3,ACC_Travel_Exp,3044.8745
5,2020-W06,4,ACC_COGS,3624.6167
5,2020-W06,5,ACC_Sales_Revenue,-27839.6
5,2020-W06,6,ACC_Accounts_Receivable,1302.47
5,2020-W06,7,ACC_Payroll_Exp,0.0
5,2020-W06,8,ACC_Rent_Exp,0.0
5,2020-W06,9,UNKNOWN_LEAK,879.4054
6,2020-W07,0,ACC_Accounts_Payable,-9199.1
6,2020-W07,1,ACC_Inventory,-14600.455
